UID,Interruption Task,Starting Task,Task Switching
1,2,1,1

ASSESSMENT,PRIMARY,path,43512,15423,0%,6.392283,N/A,41.69016
ASSESSMENT,PRIMARY,path,52431,51342,20%,4.61694,N/A,72.08707
ASSESSMENT,PRIMARY,path,13254,43215,40%,6.039705,N/A,104.387
TRAINING,PRIMARY,HANOI,1-03-2,--0123,incomplete,1.572508,0,107.1432
TRAINING,PRIMARY,HANOI,01-3-2,--0123,incomplete,0.849843,0,107.993
TRAINING,PRIMARY,HANOI,1-03-2,--0123,incomplete,0.8797138,0,108.8727
TRAINING,PRIMARY,HANOI,12--03,--0123,incomplete,4.263623,0,122.2616
TRAINING,PRIMARY,HANOI,2-1-03,--0123,incomplete,1.104183,0,123.3657
TRAINING,PRIMARY,HANOI,2-01-3,--0123,incomplete,1.779733,0,125.9209
TRAINING,PRIMARY,HANOI,-01-23,--0123,incomplete,0.8977206,0,126.8186
TRAINING,PRIMARY,HANOI,0-1-23,--0123,incomplete,0.8646098,0,127.6832
TRAINING,PRIMARY,HANOI,0--123,--0123,incomplete,0.8013888,0,128.4846
TRAINING,PRIMARY,HANOI,--0123,--0123,complete,1.07398,0,129.5586
TESTING,PRIMARY,path,12435,32415,60%,5.135265,N/A,160.8382
TESTING,PRIMARY,path,32154,14532,0%,4.737884,N/A,194.6075
TESTING,PRIMARY,path,35142,31542,60%,4.379683,N/A,225.6268

