start_peg1,start_peg2,start_peg3,goal_peg1,goal_peg2,goal_peg3,moves
3,,210,,,3210,999
3,,210,,,3210,999
3,,210,,,3210,999
3,,210,,,3210,2
3,,210,,,3210,3
3,,210,,,3210,4
3,,210,,,3210,2
3,,210,,,3210,1
3,,210,,,3210,3
3,,210,,,3210,4
3,,210,,,3210,2
3,,210,,,3210,2
3,,210,,,3210,3
3,,210,,,3210,4
3,,210,,,3210,1
3,,210,,,3210,2
3,,210,,,3210,3
3,,210,,,3210,4
3,,210,,,3210,1
3,,210,,,3210,2
3,,210,,,3210,3
3,,210,,,3210,4
3,,210,,,3210,1
3,,210,,,3210,2
3,,210,,,3210,3
3,,210,,,3210,4
3,,210,,,3210,1
3,,210,,,3210,2
3,,210,,,3210,3
3,,210,,,3210,4
