text_1,color_1,text_2,color_2,answer
blue,red,black,blue,1
black,green,red,black,1
green,blue,blue,red,0
blue,red,black,blue,1
black,green,red,black,1
green,blue,blue,red,0
blue,red,black,blue,1
black,green,red,black,1
green,blue,blue,red,0
blue,red,black,blue,1
black,green,red,black,1
green,blue,blue,red,0
blue,red,black,blue,1
black,green,red,black,1
green,blue,blue,red,0
blue,red,black,blue,1
black,green,red,black,1
green,blue,blue,red,0
blue,red,black,blue,1
black,green,red,black,1
green,blue,blue,red,0
blue,red,black,blue,1
black,green,red,black,1
green,blue,blue,red,0
blue,red,black,blue,1
black,green,red,black,1
green,blue,blue,red,0
blue,red,black,blue,1
black,green,red,black,1
green,blue,blue,red,0
blue,red,black,blue,1
black,green,red,black,1
green,blue,blue,red,0
blue,red,black,blue,1
black,green,red,black,1
green,blue,blue,red,0
blue,red,black,blue,1
black,green,red,black,1
green,blue,blue,red,0
blue,red,black,blue,1
black,green,red,black,1
green,blue,blue,red,0
blue,red,black,blue,1
black,green,red,black,1
green,blue,blue,red,0
blue,red,black,blue,1
black,green,red,black,1
green,blue,blue,red,0
blue,red,black,blue,1
black,green,red,black,1
green,blue,blue,red,0
blue,red,black,blue,1
black,green,red,black,1
green,blue,blue,red,0
blue,red,black,blue,1
black,green,red,black,1
green,blue,blue,red,0
blue,red,black,blue,1
black,green,red,black,1
green,blue,blue,red,0
blue,red,black,blue,1
black,green,red,black,1
green,blue,blue,red,0
blue,red,black,blue,1
black,green,red,black,1
green,blue,blue,red,0
blue,red,black,blue,1
black,green,red,black,1
green,blue,blue,red,0
blue,red,black,blue,1
black,green,red,black,1
green,blue,blue,red,0
blue,red,black,blue,1
black,green,red,black,1
green,blue,blue,red,0
blue,red,black,blue,1
black,green,red,black,1
green,blue,blue,red,0
blue,red,black,blue,1
black,green,red,black,1
green,blue,blue,red,0
blue,red,black,blue,1
black,green,red,black,1
green,blue,blue,red,0
blue,red,black,blue,1
black,green,red,black,1
green,blue,blue,red,0
blue,red,black,blue,1
black,green,red,black,1
green,blue,blue,red,0
